candidate_index,source,status,loss,fixed_mae_nm,random_mae_nm,phase
0,simulation,COMPLETED,0.61166971,0.7546996400000001,0.4686397799999999,sobol
1,simulation,COMPLETED,1.42471101,1.3538601,1.49556192,sobol
2,simulation,COMPLETED,0.9172158,1.09982398,0.73460762,sobol
3,simulation,COMPLETED,0.90388129,0.95253656,0.8552260200000001,sobol
4,simulation,COMPLETED,1.07437623,1.1851289,0.96362356,sobol
5,simulation,COMPLETED,0.77907631,0.73549888,0.82265374,sobol
6,simulation,COMPLETED,0.8167182499999999,0.7566269199999999,0.87680958,sobol
7,simulation,COMPLETED,1.21908804,1.1255237,1.3126523799999998,sobol
8,simulation,COMPLETED,0.7690155800000001,0.8725971400000001,0.6654340200000002,sobol
9,simulation,COMPLETED,1.41062027,1.49627558,1.3249649600000002,sobol
10,simulation,COMPLETED,0.94280533,0.97187242,0.9137382399999998,sobol
11,simulation,COMPLETED,0.6596226699999999,0.59375154,0.7254937999999999,sobol
12,simulation,COMPLETED,0.8235456200000001,0.86150372,0.7855875200000002,sobol
13,simulation,COMPLETED,0.66903193,0.68666906,0.6513948,sobol
14,simulation,COMPLETED,0.99627157,0.8909690400000001,1.1015741,sobol
15,simulation,COMPLETED,0.7230031299999999,0.66737546,0.7786308,sobol
16,simulation,COMPLETED,0.7266044599999998,0.7163647399999998,0.7368441799999997,sobol
17,simulation,COMPLETED,0.8574231800000001,0.7832659000000002,0.93158046,sobol
18,simulation,COMPLETED,0.6827826099999998,0.6612367399999999,0.7043284799999998,sobol
19,simulation,COMPLETED,0.82789022,0.9766279800000004,0.6791524599999998,sobol
20,simulation,COMPLETED,1.86393137,2.04050852,1.68735422,sobol
21,simulation,COMPLETED,0.64048806,0.6603877,0.62058842,sobol
22,simulation,COMPLETED,0.96130294,0.8262615600000001,1.09634432,sobol
23,simulation,COMPLETED,1.23756843,1.2829301000000002,1.19220676,sobol
24,simulation,COMPLETED,1.61927721,1.4449189800000002,1.79363544,sobol
25,simulation,COMPLETED,1.4321193799999998,1.5473337399999998,1.31690502,sobol
26,simulation,COMPLETED,0.7170020600000001,0.5570571200000002,0.876947,sobol
27,simulation,COMPLETED,1.25892929,1.2340981599999998,1.28376042,sobol
28,simulation,COMPLETED,0.7730686500000001,0.6438256000000002,0.9023117,sobol
29,simulation,COMPLETED,1.425374,1.26164638,1.58910162,sobol
30,simulation,COMPLETED,1.0970989700000002,1.02777014,1.1664278,sobol
31,simulation,COMPLETED,0.8289863799999999,0.99803176,0.6599409999999999,sobol
32,simulation,COMPLETED,1.64454004,1.50015656,1.7889235200000002,sobol
33,simulation,COMPLETED,1.03982741,0.8218820600000001,1.2577727600000002,sobol
34,simulation,COMPLETED,1.15649384,1.2460906399999998,1.06689704,sobol
35,simulation,COMPLETED,1.28542859,1.2924765800000002,1.2783805999999998,sobol
36,simulation,COMPLETED,0.97521041,0.8529265400000001,1.0974942799999998,sobol
37,simulation,COMPLETED,0.74046774,0.9795606,0.5013748800000002,sobol
38,simulation,COMPLETED,0.87340465,0.7031042399999998,1.0437050600000002,sobol
39,simulation,COMPLETED,0.5789449800000002,0.5640984400000001,0.5937915200000001,sobol
40,simulation,COMPLETED,0.7456475499999998,0.6122908799999998,0.8790042199999999,sobol
41,simulation,COMPLETED,1.89797447,1.92719988,1.86874906,sobol
42,simulation,COMPLETED,0.6625744499999999,0.66069532,0.66445358,sobol
43,simulation,COMPLETED,0.58904419,0.5918948199999999,0.58619356,sobol
44,simulation,COMPLETED,0.73404635,0.74872856,0.7193641399999999,sobol
45,simulation,COMPLETED,0.65882581,0.65345108,0.6642005400000001,sobol
46,simulation,COMPLETED,1.5475215800000002,1.83186488,1.26317828,sobol
47,simulation,COMPLETED,1.8468134,1.7940107599999997,1.89961604,sobol
48,simulation,COMPLETED,1.53358463,1.43945926,1.62771,sobol
49,simulation,COMPLETED,0.8602654099999999,0.69816546,1.0223653599999998,sobol
50,simulation,COMPLETED,0.7992079200000002,0.6402124600000001,0.9582033800000002,sobol
51,simulation,COMPLETED,1.25846481,1.01710172,1.4998279,sobol
52,simulation,COMPLETED,1.40079272,1.26377162,1.5378138199999998,sobol
53,simulation,COMPLETED,1.3656709500000002,1.2843557,1.4469862,sobol
54,simulation,COMPLETED,0.9173377800000002,0.95435796,0.8803176000000004,sobol
55,simulation,COMPLETED,0.76511208,0.67181204,0.8584121199999999,sobol
56,simulation,COMPLETED,0.8330954599999999,0.6510649799999999,1.01512594,sobol
57,simulation,COMPLETED,0.89408558,1.03503014,0.75314102,sobol
58,simulation,COMPLETED,1.07203763,1.1649826,0.9790926599999996,sobol
59,simulation,COMPLETED,0.7771549499999999,0.82348736,0.7308225399999999,sobol
60,simulation,COMPLETED,1.02660822,0.91757364,1.1356427999999998,botorch
61,simulation,COMPLETED,0.6566898800000001,0.5986206600000001,0.7147590999999999,botorch
62,simulation,COMPLETED,1.1102370600000002,1.05471438,1.1657597400000002,botorch
63,simulation,COMPLETED,0.71989728,0.6052194200000001,0.8345751399999999,botorch
64,simulation,COMPLETED,0.8191263300000001,0.85534574,0.7829069200000003,botorch
65,simulation,COMPLETED,0.45291133,0.5653663600000002,0.3404562999999999,botorch
66,simulation,COMPLETED,0.7814807699999999,0.6322144,0.93074714,botorch
